stu_id,x1sex,x1race,x1stdob,x1txmtscor,x1paredu,x1hhnumber,x1famincome,x1poverty185,x1ses,x1stuedexpct,x1paredexpct,x1region,x4hscompstat,x4evratndclg,x4hs2psmos
15041,1,3,199400,-8,-8,-8,-8,-8,-8,-8,-8,4,3,0,-7
15042,1,8,199405,46.1545,4,6,3,1,-0.1772,11,6,4,1,0,-7
15043,2,6,199409,54.13,4,6,6,0,0.6707,8,8,4,1,1,3
15044,2,3,199409,60.7441,-8,-8,-8,-8,0.0814,2,-8,1,1,1,20
15046,1,8,199507,59.2671,3,10,3,1,0.1251,8,6,1,1,1,3
15047,1,2,199412,61.7708,5,4,8,0,1.6848,6,8,2,1,1,3
15048,2,8,199409,51.5398,2,7,5,0,-0.3759,11,4,3,1,1,2
15049,2,8,199400,-8,3,4,4,0,-8,-8,6,3,-8,-8,-8
15050,2,8,199501,73.1367,3,4,4,0,0.2213,8,10,4,2,1,1
15051,1,8,199506,52.5668,1,3,7,0,-0.1918,11,4,3,1,0,-7
15052,2,8,199311,32.6793,-8,-8,-8,-8,-0.8007,2,-8,3,-8,-8,-8
15053,2,5,199501,50.6004,3,4,5,0,0.1273,6,8,3,1,1,3
15054,1,8,199502,51.568600000000004,4,4,13,0,0.6427,2,6,3,-8,-8,-8
15055,1,2,199501,75.0083,5,4,13,0,1.4372,10,10,4,1,1,3
15056,1,8,199604,58.5771,7,4,8,0,1.6085,10,8,3,1,1,2
15057,1,8,199503,70.0329,-8,-8,-8,-8,0.8442,6,-8,3,1,1,2
15058,2,8,199501,45.9796,3,4,3,0,0.0186,8,8,4,-8,-8,-8
15059,2,5,199501,42.4042,1,3,2,1,-1.3178,10,6,4,1,1,3
15060,2,8,199406,61.2717,2,5,2,1,-0.7751,8,8,2,1,1,2
15061,1,8,199406,67.7602,4,4,3,1,0.3101,10,10,4,1,1,3
15062,1,2,199305,56.5985,-8,-8,-8,-8,0.5649,11,-8,2,-8,-8,-8
15063,2,5,199503,52.7654,2,4,2,1,-0.9072,11,11,2,2,1,5
15064,1,5,199408,41.6602,4,8,2,1,-0.5149,11,6,2,-8,-8,-8
15065,1,3,199500,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8
15066,1,3,199403,39.3268,3,5,1,1,-0.9782,11,11,3,-8,-8,-8
15067,1,8,199412,57.8669,3,3,5,0,0.2339,8,10,4,-8,-8,-8
15068,1,5,199501,44.4844,3,6,4,0,-0.0405,11,11,2,3,0,-7
15069,2,8,199503,71.7361,3,4,5,0,0.1033,10,6,3,1,0,-7
15070,1,7,199501,48.5638,3,7,6,0,-0.0488,6,4,3,1,1,3
15071,2,8,199509,52.483,4,5,4,0,-0.232,8,6,2,1,1,4
15072,2,8,199411,74.5606,5,5,6,0,0.813,8,10,2,1,1,3
15073,1,5,199502,57.5355,-8,-8,-8,-8,0.3435,10,-8,2,1,1,2
15074,1,8,199501,46.0537,5,6,5,0,1.1602,8,6,1,-8,-8,-8
15075,1,4,199409,57.1597,-8,-8,-8,-8,-0.407,10,-8,3,1,1,9
15076,1,6,199404,49.065,-8,-8,-8,-8,0.1805,4,-8,3,-8,-8,-8
15078,2,8,199511,47.1103,-8,-8,-8,-8,0.8693,11,-8,3,1,1,2
15079,1,2,199505,60.3543,5,4,3,0,0.177,10,10,1,-8,-8,-8
15080,2,8,199507,52.8702,7,10,3,1,0.9376,8,6,4,1,1,2
15081,2,8,199500,-8,-8,-8,-8,-8,-8,-8,-8,2,3,0,-7
15082,1,8,199412,45.4442,-8,-8,-8,-8,0.2678,10,-8,4,-8,-8,-8
15083,2,3,199512,69.7326,5,3,5,0,0.3245,10,10,2,1,1,6
15084,2,8,199509,58.8667,-8,-8,-8,-8,0.6577,8,-8,1,1,1,3
15085,2,8,199409,67.5838,5,4,9,0,1.3586,10,10,3,1,1,3
15086,1,8,199411,54.6952,2,5,13,0,0.0719,6,10,4,1,1,3
15087,1,8,199407,39.9916,-8,-8,-8,-8,0.6338,2,-8,2,1,0,-7
15088,2,8,199507,57.7309,4,7,4,0,-0.1561,10,10,2,1,1,3
15089,2,8,199400,-8,-9,5,-9,-9,-8,-8,-9,3,-8,-8,-8
15090,1,8,199301,54.9163,-8,-8,-8,-8,0.7236,10,-8,2,2,1,11
15091,2,8,199409,49.1413,4,5,5,0,0.142,6,6,2,1,1,3
15092,2,8,199505,49.6147,-8,-8,-8,-8,0.692,10,-8,4,-8,-8,-8
15093,1,8,199505,47.1785,2,4,6,0,0.1159,3,4,3,1,1,4
15094,1,8,199412,53.4066,3,4,2,1,-0.6139,10,6,4,1,1,30
15095,2,8,199506,48.9126,5,4,11,0,1.1839,8,8,2,1,1,2
15096,2,8,199503,53.5567,5,4,6,0,1.171,8,6,2,1,1,3
15097,2,8,199504,53.6409,3,6,3,1,-0.3928,4,6,2,-8,-8,-8
